"б́ыстрый","schnell, rasch"
"д́олгий","lang"
"т́ихий","leise, gedämpft; still, ruhig; langsam"
"сестр́а","Schwester"
"дождь","Regen"
"ст́анция","Station, Stelle, Amt"
"стул","Stuhl; Stuhlgang"
"своб́одный","frei, ungebunden, unbesetzt, leer, freizügig; kostenfrei, kostenlos"
"кров́ать","Bett"
"п́апа","Papa, Vati"
"дороѓой","teuer, kostbar, wert; lieb"
"м́алый","klein, gering"
"́умный","klug, gescheit, vernünftig, verständig"
"плох́ой","schlecht, schlimm, übel"
"норм́альный","normal"
"клуб","Klub, Club, Verein, Klubhaus; Schwaden; Knäuel"
"гр́язный","schmutzig, unsauber; dreckig"
"гр́омко","laut, vollmundig"
"останов́ить","anhalten (jmd./etwas), stoppen, unterbrechen, einstellen, zurückhalten"
"ед́а","Essen, Kost, Speise"
"плат́ить","zahlen"
"бил́ет","Eintrittskarte, Ticket; Fahrkarte"
"род́иться","geboren werden"
"уч́ить","lehren; lernen"
"текст","Text, Wortlaut"
"авт́обус","Bus, Autobus, Omnibus"
"ќошка","Katze"
"тр́удный","schwierig; schwer"
"вход","Eingang; Eintritt, Zutritt"
"бол́еть","krank sein, sich krank fühlen, leiden an; schmerzen, Beschwerden haben; mitfiebern, anfeuern"
"гот́овить","kochen, zubereiten; vorbereiten, ausbilden"
"пол́иция","Polizei"
"сред́а","Mittwoch; Medium; Milieu, Umgebung, Umwelt; Mitte"
"ќуртка","Jacke, Blouson, Windjacke"
"л́учше","besser, lieber"
"подр́уга","Freundin"
"д́очка","Tochter"
"гр́омкий","laut"
"поѓода","Wetter"
"везд́е","überall"
"бот́инок","Schuh; Halbstiefel"
"паќет","Paket; Tüte, Beutel"
"прив́ет","Hallo, Grüß dich, Grüß euch; Gruß"
"нигд́е","nirgendwo, nirgends"
"пр́авильный","richtig, regelkonform, korrekt; regelmäßig"
"дешёвый","billig, kostengünstig"
"гол́одный","hungrig"
"метр́о","U-Bahn, Metro"
"недалеќо","nah; nicht weit, nicht fern"
"каф́е","Café"
"воскрес́енье","Sonntag; Auferstehung"
"суп","Suppe"
"норм́ально","normal"
"субб́ота","Samstag, Sonnabend"
"ж́аркий","heiß, heftig"
"нап́иток","Getränk"
"напр́аво","nach rechts, rechts"
"нал́ево","nach links, links; schwarz, illegal"
"м́едленный","langsam"
"ќушать","essen, speisen"
"вќусный","lecker; schmackhaft"
"понед́ельник","Montag"
